15:43:42.639 [main] INFO  - Setup is done
17:52:11.393 [main] INFO  - Browser is launched successfully
17:52:12.277 [main] INFO  - Values are enetered into first name , last name and email Text box
17:52:15.330 [main] INFO  - enteraddress is executed successfully on Practice CS form
08:05:13.525 [main] INFO  - Browser is setup successfully
08:05:18.765 [main] INFO  - URL is entered successfully
23:38:58.337 [main] INFO  - Browser is launched successfully
23:38:58.972 [main] INFO  - Values are enetered into first name , last name and email Text box
23:39:02.001 [main] INFO  - enteraddress is executed successfully on Practice CS form
23:53:16.270 [main] INFO  - Browser is launched successfully
23:53:16.810 [main] INFO  - Values are enetered into first name , last name and email Text box
23:53:19.879 [main] INFO  - enteraddress is executed successfully on Practice CS form
